CPI_Can,New_Housing_Price_Index,Inflation,GDP,ON_Unemployment_Rate,Bank_Rate,CAN_Mort_Lending_Rate5yr,Mortgage_Var_Rate,Mortgage_Fixed_Rate_5yr,TO_Units_Absorbed,Bond_1-3yr_Avg
134.3,103.1,2.0,1957338.0,5.5,1.75,4.42,2.99,3.38,727.0,1.95
134.2,103.0,1.9,1961105.0,5.7,1.75,4.43,3.04,3.4,884.0,2.08
133.7,102.9,1.8,1963911.0,5.8,1.75,4.43,3.12,3.42,690.0,2.13
134.1,102.9,1.9,1967946.0,5.7,2.0,4.48,3.24,3.47,832.0,2.27
133.5,102.9,1.8,1963948.0,5.7,2.0,4.38,3.31,3.54,697.0,2.24
133.4,102.9,1.8,1964898.0,5.6,2.0,4.59,3.4,3.61,878.0,1.96
133.6,102.8,1.8,1966439.0,5.6,2.0,4.59,3.52,3.63,855.0,1.87
134.5,102.8,2.0,1962946.0,5.6,2.0,4.52,3.66,3.58,775.0,1.79
135.4,102.8,2.0,1974072.0,5.9,2.0,4.44,3.75,3.45,402.0,1.61
136.0,102.6,2.0,1984086.0,6.0,2.0,4.33,3.82,3.23,444.0,1.61
136.6,102.5,2.1,1991679.0,5.2,2.0,4.3,3.9,3.09,979.0,1.62
136.3,102.4,2.1,1995768.0,5.4,2.0,4.23,3.99,2.94,505.0,1.46
137.0,102.2,2.2,1996463.0,5.7,2.0,4.14,4.08,2.87,437.0,1.56
136.8,102.3,2.1,1996572.0,5.6,2.0,4.08,4.15,2.83,454.0,1.42
136.2,102.6,2.4,1999283.0,5.4,2.0,4.07,4.17,2.78,451.0,1.54
136.6,102.7,2.4,2000634.0,5.4,2.0,4.09,4.19,2.79,346.0,1.58
136.4,102.5,2.5,2000233.0,5.6,2.0,4.09,4.01,2.85,384.0,1.59
136.4,102.8,2.4,2007421.0,5.3,2.0,4.08,3.97,2.89,383.0,1.69
136.8,102.6,2.3,2010802.0,5.2,2.0,4.08,3.91,2.92,347.0,1.63
137.4,103.1,2.0,2014964.0,5.6,2.0,4.08,3.93,2.89,338.0,1.49
136.6,103.5,1.7,1863478.0,8.3,1.0,3.9,2.64,2.72,276.0,0.72
135.7,103.5,1.6,1662008.0,12.0,0.5,3.95,2.31,2.68,372.0,0.37
136.1,103.6,1.3,1735686.0,14.0,0.5,3.86,2.47,2.62,397.0,0.28
137.2,103.7,1.5,1836134.0,12.5,0.5,3.77,2.43,2.53,451.0,0.27
137.2,103.9,1.2,1883201.0,11.5,0.5,3.64,2.34,2.42,378.0,0.24
137.0,104.6,1.4,1901415.0,10.5,0.5,3.57,2.22,2.25,349.0,0.25
136.9,106.1,1.4,1918805.0,9.6,0.5,3.51,2.16,2.12,450.0,0.24
137.5,107.3,1.6,1930273.0,9.5,0.5,3.45,2.1,2.0,474.0,0.21
137.7,108.0,1.6,1943992.0,9.1,0.5,3.42,2.07,1.93,603.0,0.26
137.4,108.3,1.5,1948654.0,10.0,0.5,3.34,1.98,1.88,647.0,0.24
138.2,109.3,1.6,1957148.0,10.2,0.5,3.3,1.86,1.85,572.0,0.16
138.9,111.0,1.5,1961960.0,9.5,0.5,3.25,1.77,1.82,591.0,0.19
139.6,112.4,2.0,1980323.0,7.7,0.5,3.26,1.64,1.88,426.0,0.25
140.3,114.3,2.2,1960536.0,9.2,0.5,3.25,1.57,1.95,476.0,0.29
141.0,116.6,2.6,1950246.0,9.3,0.5,3.25,1.59,2.03,521.0,0.31
141.4,117.9,2.6,1966023.0,8.7,0.5,3.26,1.57,2.07,423.0,0.37
142.3,118.6,2.8,1976370.0,8.0,0.5,3.2,1.53,2.1,364.0,0.42
142.6,119.5,3.0,1987967.0,7.8,0.5,3.2,1.54,2.11,505.0,0.41
142.9,120.1,3.2,1994605.0,7.5,0.5,3.22,1.48,2.08,443.0,0.42
143.9,121.4,3.1,2010389.0,6.9,0.5,3.29,1.46,2.1,666.0,0.73
144.2,122.4,3.3,2019838.0,6.6,0.5,3.4,1.46,2.22,431.0,1.0
144.0,122.9,3.4,2022291.0,6.4,0.5,3.45,1.46,2.4,391.0,0.95
145.3,124.3,3.8,2017567.0,7.5,0.5,3.44,1.47,2.54,456.0,1.14
146.8,126.0,4.2,2032358.0,5.7,0.5,3.58,1.49,2.66,690.0,1.36
148.9,127.9,4.8,2046509.0,5.3,0.75,3.77,1.77,2.82,514.0,1.78
149.8,128.6,5.2,2047619.0,5.4,1.25,4.19,2.31,3.05,681.0,2.38
151.9,129.4,5.8,2052576.0,5.4,1.25,4.63,2.51,3.36,568.0,2.61
152.9,129.6,5.9,2057260.0,5.2,1.75,5.05,3.1,3.63,402.0,3.08
153.1,129.6,6.3,2059605.0,5.1,2.75,5.51,4.0,4.01,454.0,3.2
152.6,129.8,6.1,2064239.0,5.6,2.75,5.58,4.19,4.36,393.0,3.39
152.7,129.7,6.2,2066824.0,5.6,3.5,5.64,4.92,4.66,453.0,3.69
153.8,129.4,6.2,2067853.0,5.7,3.5,5.75,5.43,4.93,324.0,3.97
154.0,129.3,6.5,2070029.0,5.7,4.0,5.88,5.56,5.08,545.0,3.92
153.1,129.2,6.4,2067952.0,5.3,4.5,5.89,6.03,5.24,413.0,3.8
153.9,128.9,6.4,2081145.0,5.2,4.5,5.86,6.31,5.25,772.0,3.83
154.5,128.5,6.2,2082222.0,5.1,4.75,5.81,6.35,5.14,497.0,4.09
155.3,128.4,5.9,2083350.0,5.1,4.75,5.81,6.59,5.09,681.0,3.87
156.4,128.2,5.7,2085463.0,4.9,4.75,5.75,6.65,5.0,437.0,3.73
157.0,128.3,5.2,2090862.0,5.5,4.75,5.74,6.81,4.95,542.0,3.95
